,sfincs_depth_mean,sfincs_depth_median,sfincs_area_km2,sfincs_manning_mean,hecras_depth_mean,hecras_depth_median,hecras_area_km2,hecras_manning_mean
637,1.0356182,0.9176674,0.5388,0.059604634387051283,1.20954,0.93135834,0.748875,0.06656825890314828
638,1.028649,0.9037094,0.5327999999999999,0.05980042528093065,1.1764388,1.0268021,0.588175,0.06202272467346929
639,1.046198,0.93920135,0.547925,0.0584938020383885,1.2505628,0.94125366,0.793725,0.06259277422383316
640,0.9946391,0.8258209,0.52055,0.05990250994783417,1.0908952,1.0022964,0.5566249999999999,0.06059053938868196
641,1.076998,0.9830818,0.55665,0.054842013094389394,1.3179653,0.9920578,0.8144,0.05815514556177024
642,1.1018966,1.025753,0.56545,0.059522180549867326,1.3613353,1.0008926,0.8427,0.060063736994812336
643,1.0299438,0.9114475,0.5378999999999999,0.05157353738715877,1.1806728,0.9910965,0.644475,0.05559261004787251
644,1.0415329,0.93110275,0.5394,0.07053043536774121,1.2013165,0.9847183,0.6674,0.07531408114823653
645,1.066741,0.9735565,0.550125,0.06841226239980827,1.272697,0.9632187,0.7833249999999999,0.07601449930094419
646,1.0109855,0.8828125,0.5338999999999999,0.06986916901477995,1.2095584,0.9272537,0.8015249999999999,0.07438394078403959
647,1.0999997,1.0029373,0.558325,0.07953024900436477,1.3162774,1.0084229,0.745675,0.0835988838123449
648,1.0436665,0.944252,0.5454749999999999,0.061173535048915255,1.2372935,0.9510994,0.783775,0.06730023687463557
649,1.0151868,0.8669281,0.5322,0.053231471831039115,1.1519183,0.953495,0.6803,0.05447834027881923
650,1.0266715,0.9037857,0.531475,0.05006112859006968,1.1641612,0.9595413,0.667225,0.0524395259844264
651,1.0910401,0.9983864,0.5549999999999999,0.06278927273772925,1.2940271,0.99113846,0.74235,0.0703643834558169
652,1.0648936,0.96463776,0.5471,0.05985820049494359,1.2403208,0.95610046,0.7132999999999999,0.0651179741055003
653,1.1167496,1.017231,0.5599999999999999,0.06160950869278954,1.3407913,1.0380783,0.705975,0.06624189605086969
654,1.0055381,0.84786224,0.525675,0.05607282651406644,1.1280801,1.0109863,0.58445,0.05737606504858967
655,1.0268097,0.9095421,0.53565,0.07174086668760926,1.1891211,0.9354973,0.7273999999999999,0.07326006219105423
656,1.0951382,0.9889717,0.550925,0.05342580311364528,1.2857362,1.0244675,0.661625,0.058610756110603096
657,1.0694686,0.9574108,0.54215,0.05675986643414279,1.2474582,1.0282516,0.62645,0.061379976674777535
658,1.1133013,1.0142097,0.556275,0.07696664246446638,1.32842,1.0368881,0.691875,0.08296733462828496
659,1.001691,0.8023529,0.523025,0.05470210188567843,1.0748566,1.0172958,0.521925,0.05570599817657276
660,1.0568942,0.96349335,0.5472,0.05969708636922049,1.256634,0.95106506,0.78225,0.060854501424058
661,1.062984,0.95498276,0.5424,0.055364060958138436,1.2293726,0.99194336,0.672175,0.05900046256619481
662,1.0940304,0.96663666,0.53705,0.07051159927401053,1.274771,1.0687485,0.6059249999999999,0.07380759206226016
663,1.0677991,0.9500923,0.5409999999999999,0.05596654974643125,1.2344369,1.0336761,0.615725,0.06053772702402492
664,1.0570781,0.96364594,0.548275,0.07631920319708675,1.2466028,0.9503422,0.7634,0.08267068990511904
665,0.99595255,0.84516907,0.52565,0.05020963811908031,1.1507412,0.9129944,0.7379249999999999,0.05385822015360033
666,1.013344,0.8585739,0.536775,0.061693427621958404,1.1613555,0.9246292,0.7390249999999999,0.06481768089187008
667,1.0359608,0.8833008,0.536075,0.05339754154625373,1.1695886,1.027216,0.59865,0.055243695704878956
668,1.0593766,0.96284103,0.5478999999999999,0.05376820204783227,1.2474582,0.9477997,0.760025,0.05714391084771638
669,1.0186167,0.8799362,0.531875,0.055624405835820664,1.1542617,0.98911095,0.6276999999999999,0.057987852883218206
670,1.0584995,0.9549484,0.54345,0.05456393256431923,1.2215022,0.97107315,0.69085,0.057459603207540136
671,1.0259309,0.9024105,0.53355,0.06431635004033251,1.1677717,0.96027374,0.675375,0.0670377069587896
672,1.0672007,0.970253,0.545625,0.04869257593492388,1.2432916,1.0015717,0.672875,0.0511433887107463
673,1.0493443,0.9497986,0.543225,0.03883817302341193,1.2361633,0.94947433,0.768625,0.04271386142792054
674,1.0472838,0.88249207,0.5231,0.045872582292632705,1.1636373,1.0529175,0.552875,0.04791288280220672
675,0.9902035,0.818264,0.5235,0.05549820467846634,1.120419,0.949913,0.65855,0.059901359243268136
676,1.0711993,0.97143745,0.5448,0.053876808463197826,1.2506039,1.0113411,0.65675,0.057744093050377227
677,1.0665498,0.9699478,0.5516,0.054377587056162836,1.2766455,0.95899963,0.78215,0.06152659683218126
678,1.0527036,0.9472656,0.53925,0.0723300896019496,1.2071533,0.996788,0.648125,0.07626383687249393
679,1.0043983,0.8733139,0.52705,0.06623144414455279,1.1481699,0.9611149,0.6635,0.06661772840102527
680,1.0891606,0.9568863,0.538175,0.047396205939791734,1.2616886,1.0615311,0.59355,0.051663395023117786
681,1.0051196,0.84536743,0.522625,0.04227003792325129,1.1282318,1.000946,0.601325,0.04268896340064442
682,1.0221909,0.89085007,0.5292,0.06082298582070022,1.1675864,1.0214386,0.6051,0.06376359101173155
683,1.093295,1.0004883,0.555875,0.05787517177269105,1.2937088,1.0031643,0.7234999999999999,0.05961513244128321
684,1.0335705,0.900547,0.53525,0.04663900198430025,1.1882374,1.0245743,0.615775,0.04806337719285241
685,1.1022716,0.986496,0.5475249999999999,0.055281432404931864,1.2999393,1.0407791,0.629875,0.05773199117468664
686,1.0522178,0.9443741,0.5408499999999999,0.055413023656983494,1.2153338,0.9796219,0.67475,0.058596441721024246
687,1.0808327,0.955616,0.5393749999999999,0.06035811310764086,1.2602322,1.0609398,0.595275,0.0630465236976628
688,1.0038382,0.8583069,0.523625,0.06889269729792696,1.1406455,0.96713257,0.6539499999999999,0.0722038479469222
689,1.0382187,0.9184723,0.537825,0.050503014844792846,1.1965193,0.99762344,0.64765,0.051923212405447054
690,1.087811,0.9964905,0.558875,0.05898445219862591,1.313729,0.9750385,0.79375,0.06182209027203673
