id,x,y
1,243521,3514040
1,243491,3514040
1,243491,3514010
1,243521,3514010
1,243521,3513920
1,243491,3513920
1,243491,3513710
1,243521,3513710
1,243521,3513680
1,243551,3513680
1,243551,3513650
1,243581,3513650
1,243581,3513620
1,243671,3513620
1,243671,3513590
1,243761,3513590
1,243761,3513560
1,243791,3513560
1,243791,3513530
1,243821,3513530
1,243821,3513470
1,243851,3513470
1,243851,3513380
1,243881,3513380
1,243881,3513350
1,244061,3513350
1,244061,3513380
1,244421,3513380
1,244421,3513410
1,244541,3513410
1,244541,3513380
1,244571,3513380
1,244571,3513350
1,244601,3513350
1,244601,3513230
1,244631,3513230
1,244631,3513170
1,244631,3513140
1,244721,3513140
1,244721,3513110
1,244751,3513110
1,244751,3513080
1,244781,3513080
1,244781,3513050
1,244811,3513050
1,244811,3513020
1,244841,3513020
1,244841,3512990
1,244901,3512990
1,244901,3512960
1,244931,3512960
1,244931,3512840
1,245021,3512840
1,245021,3512810
1,245081,3512810
1,245081,3512780
1,245141,3512780
1,245141,3512750
1,245171,3512750
1,245171,3512720
1,245201,3512720
1,245201,3512660
1,245081,3512660
1,245081,3512630
1,245051,3512630
1,245051,3512600
1,245021,3512600
1,245021,3512570
1,244991,3512570
1,244991,3512540
1,244961,3512540
1,244961,3512450
1,244991,3512450
1,244991,3512210
1,244961,3512210
1,244961,3512090
1,244931,3512090
1,244931,3512060
1,244961,3512060
1,244961,3512030
1,245081,3512030
1,245081,3512000
1,245171,3512000
1,245171,3511880
1,245201,3511880
1,245201,3511820
1,245231,3511820
1,245231,3511760
1,245261,3511760
1,245261,3511640
1,245201,3511640
1,245201,3511460
1,245171,3511460
1,245171,3511430
1,245141,3511430
1,245141,3511280
1,245171,3511280
1,245171,3511250
1,245141,3511250
1,245141,3511220
1,245111,3511220
1,245111,3511190
1,245141,3511190
1,245141,3511160
1,245171,3511160
1,245171,3511100
1,245201,3511100
1,245201,3511070
1,245231,3511070
1,245231,3511040
1,245261,3511040
1,245261,3510980
1,245231,3510980
1,245231,3510860
1,245231,3510830
1,245261,3510830
1,245261,3510800
1,245291,3510800
1,245291,3510740
1,245321,3510740
1,245321,3510710
1,245351,3510710
1,245351,3510680
1,245381,3510680
1,245381,3510650
1,245411,3510650
1,245411,3510590
1,245441,3510590
1,245441,3510500
1,245411,3510500
1,245411,3510410
1,245381,3510410
1,245381,3510140
1,245351,3510140
1,245351,3510080
1,245381,3510080
1,245381,3509930
1,245321,3509930
1,245321,3509900
1,245261,3509900
1,245261,3509870
1,245231,3509870
1,245231,3509810
1,245201,3509810
1,245201,3509780
1,245171,3509780
1,245171,3509630
1,245201,3509630
1,245201,3509600
1,245261,3509600
1,245261,3509570
1,245291,3509570
1,245291,3509510
